ID,ant,alpha,beta,rho,elite,limit,distance
24,200,0,8,0.8,0.6,100,3369
25,200,0,8,0.8,0.6,100,3346
26,200,0,8,0.8,0.6,100,3371
27,200,0,8,0.8,0.6,100,3346
28,200,0,8,0.8,0.6,100,3369
29,200,0,8,0.8,0.6,100,3336
,200,0,8,0.8,0.6,100,3357
0,200,0,9,0.8,0.6,100,3371
1,200,0,9,0.8,0.6,100,3371
2,200,0,9,0.8,0.6,100,3371
3,200,0,9,0.8,0.6,100,3371
4,200,0,9,0.8,0.6,100,3359
5,200,0,9,0.8,0.6,100,3346
6,200,0,9,0.8,0.6,100,3371
7,200,0,9,0.8,0.6,100,3371
8,200,0,9,0.8,0.6,100,3346
9,200,0,9,0.8,0.6,100,3346
10,200,0,9,0.8,0.6,100,3336
11,200,0,9,0.8,0.6,100,3371
12,200,0,9,0.8,0.6,100,3371
13,200,0,9,0.8,0.6,100,3371
14,200,0,9,0.8,0.6,100,3371
15,200,0,9,0.8,0.6,100,3346
16,200,0,9,0.8,0.6,100,3371
17,200,0,9,0.8,0.6,100,3369
18,200,0,9,0.8,0.6,100,3359
19,200,0,9,0.8,0.6,100,3371
20,200,0,9,0.8,0.6,100,3371
21,200,0,9,0.8,0.6,100,3371
22,200,0,9,0.8,0.6,100,3371
23,200,0,9,0.8,0.6,100,3371
24,200,0,9,0.8,0.6,100,3371
25,200,0,9,0.8,0.6,100,3371
26,200,0,9,0.8,0.6,100,3371
27,200,0,9,0.8,0.6,100,3369
28,200,0,9,0.8,0.6,100,3371
29,200,0,9,0.8,0.6,100,3371
,200,0,9,0.8,0.6,100,3365
0,200,7,7,0.8,0.6,100,3371
1,200,7,7,0.8,0.6,100,3336
2,200,7,7,0.8,0.6,100,3346
3,200,7,7,0.8,0.6,100,3346
4,200,7,7,0.8,0.6,100,3359
5,200,7,7,0.8,0.6,100,3336
6,200,7,7,0.8,0.6,100,3369
7,200,7,7,0.8,0.6,100,3346
8,200,7,7,0.8,0.6,100,3346
9,200,7,7,0.8,0.6,100,3346
10,200,7,7,0.8,0.6,100,3336
11,200,7,7,0.8,0.6,100,3371
12,200,7,7,0.8,0.6,100,3371
13,200,7,7,0.8,0.6,100,3346
14,200,7,7,0.8,0.6,100,3336
15,200,7,7,0.8,0.6,100,3359
16,200,7,7,0.8,0.6,100,3346
17,200,7,7,0.8,0.6,100,3359
18,200,7,7,0.8,0.6,100,3346
19,200,7,7,0.8,0.6,100,3346
20,200,7,7,0.8,0.6,100,3336
21,200,7,7,0.8,0.6,100,3346
22,200,7,7,0.8,0.6,100,3346
23,200,7,7,0.8,0.6,100,3371
24,200,7,7,0.8,0.6,100,3359
25,200,7,7,0.8,0.6,100,3369
26,200,7,7,0.8,0.6,100,3336
27,200,7,7,0.8,0.6,100,3346
28,200,7,7,0.8,0.6,100,3336
29,200,7,7,0.8,0.6,100,3371
,200,7,7,0.8,0.6,100,3351
0,200,7,8,0.8,0.6,100,3346
1,200,7,8,0.8,0.6,100,3346
2,200,7,8,0.8,0.6,100,3336
3,200,7,8,0.8,0.6,100,3336
4,200,7,8,0.8,0.6,100,3369
5,200,7,8,0.8,0.6,100,3336
6,200,7,8,0.8,0.6,100,3371
7,200,7,8,0.8,0.6,100,3346
8,200,7,8,0.8,0.6,100,3346
9,200,7,8,0.8,0.6,100,3371
10,200,7,8,0.8,0.6,100,3336
11,200,7,8,0.8,0.6,100,3346
12,200,7,8,0.8,0.6,100,3336
13,200,7,8,0.8,0.6,100,3371
14,200,7,8,0.8,0.6,100,3336
15,200,7,8,0.8,0.6,100,3371
16,200,7,8,0.8,0.6,100,3371
17,200,7,8,0.8,0.6,100,3336
18,200,7,8,0.8,0.6,100,3346
19,200,7,8,0.8,0.6,100,3371
20,200,7,8,0.8,0.6,100,3346
21,200,7,8,0.8,0.6,100,3336
22,200,7,8,0.8,0.6,100,3336
23,200,7,8,0.8,0.6,100,3346
24,200,7,8,0.8,0.6,100,3369
25,200,7,8,0.8,0.6,100,3369
26,200,7,8,0.8,0.6,100,3346
27,200,7,8,0.8,0.6,100,3369
28,200,7,8,0.8,0.6,100,3359
29,200,7,8,0.8,0.6,100,3369
,200,7,8,0.8,0.6,100,3352
0,200,7,9,0.8,0.6,100,3346
1,200,7,9,0.8,0.6,100,3346
2,200,7,9,0.8,0.6,100,3371
3,200,7,9,0.8,0.6,100,3371
4,200,7,9,0.8,0.6,100,3359
5,200,7,9,0.8,0.6,100,3371
6,200,7,9,0.8,0.6,100,3346
7,200,7,9,0.8,0.6,100,3371
8,200,7,9,0.8,0.6,100,3371
9,200,7,9,0.8,0.6,100,3371
10,200,7,9,0.8,0.6,100,3371
11,200,7,9,0.8,0.6,100,3371
12,200,7,9,0.8,0.6,100,3346
13,200,7,9,0.8,0.6,100,3371
14,200,7,9,0.8,0.6,100,3371
15,200,7,9,0.8,0.6,100,3346
16,200,7,9,0.8,0.6,100,3371
17,200,7,9,0.8,0.6,100,3371
18,200,7,9,0.8,0.6,100,3371
19,200,7,9,0.8,0.6,100,3371
20,200,7,9,0.8,0.6,100,3369
21,200,7,9,0.8,0.6,100,3346
22,200,7,9,0.8,0.6,100,3371
23,200,7,9,0.8,0.6,100,3336
24,200,7,9,0.8,0.6,100,3359
25,200,7,9,0.8,0.6,100,3371
26,200,7,9,0.8,0.6,100,3371
27,200,7,9,0.8,0.6,100,3346
28,200,7,9,0.8,0.6,100,3371
29,200,7,9,0.8,0.6,100,3369
,200,7,9,0.8,0.6,100,3363
0,50,0,7,0.8,0.6,500,3346
1,50,0,7,0.8,0.6,500,3336
2,50,0,7,0.8,0.6,500,3346
3,50,0,7,0.8,0.6,500,3346
4,50,0,7,0.8,0.6,500,3369
5,50,0,7,0.8,0.6,500,3359
6,50,0,7,0.8,0.6,500,3346
7,50,0,7,0.8,0.6,500,3369
8,50,0,7,0.8,0.6,500,3369
9,50,0,7,0.8,0.6,500,3371
10,50,0,7,0.8,0.6,500,3369
11,50,0,7,0.8,0.6,500,3336
12,50,0,7,0.8,0.6,500,3369
13,50,0,7,0.8,0.6,500,3336
14,50,0,7,0.8,0.6,500,3336
15,50,0,7,0.8,0.6,500,3346
16,50,0,7,0.8,0.6,500,3336
17,50,0,7,0.8,0.6,500,3371
18,50,0,7,0.8,0.6,500,3336
19,50,0,7,0.8,0.6,500,3371
20,50,0,7,0.8,0.6,500,3359
21,50,0,7,0.8,0.6,500,3346
22,50,0,7,0.8,0.6,500,3346
23,50,0,7,0.8,0.6,500,3369
24,50,0,7,0.8,0.6,500,3323
25,50,0,7,0.8,0.6,500,3336
26,50,0,7,0.8,0.6,500,3323
27,50,0,7,0.8,0.6,500,3336
28,50,0,7,0.8,0.6,500,3323
29,50,0,7,0.8,0.6,500,3346
,50,0,7,0.8,0.6,500,3349
0,50,0,8,0.8,0.6,500,3359
1,50,0,8,0.8,0.6,500,3346
2,50,0,8,0.8,0.6,500,3346
3,50,0,8,0.8,0.6,500,3346
4,50,0,8,0.8,0.6,500,3369
5,50,0,8,0.8,0.6,500,3369
6,50,0,8,0.8,0.6,500,3336
7,50,0,8,0.8,0.6,500,3371
8,50,0,8,0.8,0.6,500,3359
9,50,0,8,0.8,0.6,500,3371
10,50,0,8,0.8,0.6,500,3336
11,50,0,8,0.8,0.6,500,3371
12,50,0,8,0.8,0.6,500,3371
13,50,0,8,0.8,0.6,500,3359
14,50,0,8,0.8,0.6,500,3346
15,50,0,8,0.8,0.6,500,3346
16,50,0,8,0.8,0.6,500,3346
17,50,0,8,0.8,0.6,500,3371
18,50,0,8,0.8,0.6,500,3346
19,50,0,8,0.8,0.6,500,3371
20,50,0,8,0.8,0.6,500,3336
21,50,0,8,0.8,0.6,500,3369
22,50,0,8,0.8,0.6,500,3346
23,50,0,8,0.8,0.6,500,3336
24,50,0,8,0.8,0.6,500,3346
